Original Word,Stemmed Word
الم,الم
ذلك,ذلك
الكتاب,كتب
لا,لا
ريب,ريب
فيه,فيه
هدى,هدى
للمتقين,متق
الذين,الذين
يؤمنون,يؤم
بالغيب,غيب
ويقيمون,يقم
الصلاة,صلة
ومما,ومم
رزقناهم,رزق
ينفقون,نفق
والذين,ذين
يؤمنون,يؤم
بما,بما
أنزل,نزل
إليك,الك
وما,وما
أنزل,نزل
من,من
قبلك,قبل
وبالآخرة,وبالآخرة
هم,هم
يوقنون,يوق
أولئك,ولئ
على,على
هدى,هدى
من,من
ربهم,ربهم
وأولئك,أولئ
هم,هم
المفلحون,فلح
إن,ان
الذين,الذين
كفروا,كفر
سواء,سوء
عليهم,علي
أأنذرتهم,أنذر
أم,ام
لم,لم
تنذرهم,نذر
لا,لا
يؤمنون,يؤم
ختم,ختم
الله,الل
على,على
قلوبهم,قلب
وعلى,على
سمعهم,سمع
وعلى,على
أبصارهم,بصر
غشاوة,غشو
ولهم,لهم
عذاب,عذب
عظيم,عظم
ومن,ومن
الناس,ناس
من,من
يقول,يقل
آمنا,امن
بالله,بلل
وباليوم,ليم
الآخر,اخر
وما,وما
هم,هم
بمؤمنين,مؤم
يخادعون,خدع
الله,الل
والذين,ذين
آمنوا,امن
وما,وما
يخدعون,خدع
إلا,الا
أنفسهم,نفس
وما,وما
يشعرون,شعر
في,في
قلوبهم,قلب
مرض,مرض
فزادهم,فزد
الله,الل
مرضا,رضا
ولهم,لهم
عذاب,عذب
أليم,الم
بما,بما
كانوا,كان
يكذبون,كذب
وإذا,وإذ
قيل,قيل
لهم,لهم
لا,لا
تفسدوا,فسد
في,في
الأرض,ارض
قالوا,قال
إنما,انم
نحن,نحن
مصلحون,صلح
ألا,الا
إنهم,نهم
هم,هم
المفسدون,فسد
ولكن,ولكن
لا,لا
يشعرون,شعر
وإذا,وإذ
قيل,قيل
لهم,لهم
آمنوا,امن
كما,كما
آمن,امن
الناس,ناس
قالوا,قال
أنؤمن,ؤمن
كما,كما
آمن,امن
السفهاء,فهء
ألا,الا
إنهم,نهم
هم,هم
السفهاء,فهء
ولكن,ولكن
لا,لا
يعلمون,علم
وإذا,وإذ
لقوا,لقا
الذين,الذين
آمنوا,امن
قالوا,قال
آمنا,امن
وإذا,وإذ
خلوا,خلا
إلى,الى
شياطينهم,شيط
قالوا,قال
إنا,انا
معكم,عكم
إنما,انم
نحن,نحن
مستهزئون,هزئ
الله,الل
يستهزئ,هزئ
بهم,بهم
ويمدهم,يمد
في,في
طغيانهم,طغي
يعمهون,يعم
أولئك,ولئ
الذين,الذين
اشتروا,شتر
الضلالة,ضلل
بالهدى,هدى
فما,فما
ربحت,ربح
تجارتهم,جرت
وما,وما
كانوا,كان
مهتدين,هتد
مثلهم,مثل
كمثل,كمثل
الذي,الذي
استوقد,وقد
نارا,نرا
فلما,فلم
أضاءت,ضءت
ما,ما
حوله,حول
ذهب,ذهب
الله,الل
بنورهم,بنر
وتركهم,وتر
في,في
ظلمات,ظلم
لا,لا
يبصرون,بصر
صم,صم
بكم,بكم
عمي,عمي
فهم,فهم
لا,لا
يرجعون,رجع
أو,او
كصيب,كصب
من,من
السماء,سمء
فيه,فيه
ظلمات,ظلم
ورعد,رعد
وبرق,برق
يجعلون,جعل
أصابعهم,صبع
في,في
آذانهم,اذن
من,من
الصواعق,صعق
حذر,حذر
الموت,موت
والله,ولل
محيط,حيط
بالكافرين,كفر
يكاد,يكد
البرق,برق
يخطف,خطف
أبصارهم,بصر
كلما,كلم
أضاء,اضء
لهم,لهم
مشوا,شوا
فيه,فيه
وإذا,وإذ
أظلم,ظلم
عليهم,علي
قاموا,قام
ولو,ولو
شاء,شاء
الله,الل
لذهب,ذهب
بسمعهم,سمع
وأبصارهم,أبصار
إن,ان
الله,الل
على,على
كل,كل
شيء,شيء
قدير,قدر
يا,يا
أيها,ايه
الناس,ناس
اعبدوا,عبد
ربكم,ربكم
الذي,الذي
خلقكم,خلق
والذين,ذين
من,من
قبلكم,قبل
لعلكم,لعل
تتقون,تتق
الذي,الذي
جعل,جعل
لكم,لكم
الأرض,ارض
فراشا,فرش
والسماء,سمء
بناء,بنء
وأنزل,أنزل
من,من
السماء,سمء
ماء,ماء
فأخرج,أخرج
به,به
من,من
الثمرات,ثمر
رزقا,رزق
لكم,لكم
فلا,فلا
تجعلوا,جعل
لله,لله
أندادا,داد
وأنتم,وأن
تعلمون,علم
وإن,وإن
كنتم,كنتم
في,في
ريب,ريب
مما,مما
نزلنا,نزل
على,على
عبدنا,عبد
فأتوا,فأت
بسورة,بسر
من,من
مثله,ثله
وادعوا,ودع
شهداءكم,شهداء
من,من
دون,دون
الله,الل
إن,ان
كنتم,كنتم
صادقين,صدق
فإن,فإن
لم,لم
تفعلوا,فعل
ولن,ولن
تفعلوا,فعل
فاتقوا,فتق
النار,نار
التي,التي
وقودها,وقد
الناس,ناس
والحجارة,حجر
أعدت,اعد
للكافرين,كفر
وبشر,بشر
الذين,الذين
آمنوا,امن
وعملوا,عمل
الصالحات,صلح
أن,ان
لهم,لهم
جنات,جنت
تجري,تجر
من,من
تحتها,تحت
الأنهار,هار
كلما,كلم
رزقوا,رزق
منها,منها
من,من
ثمرة,ثمر
رزقا,رزق
قالوا,قال
هذا,هذا
الذي,الذي
رزقنا,رزق
من,من
قبل,قبل
وأتوا,وأت
به,به
متشابها,تشب
ولهم,لهم
فيها,فيه
أزواج,زوج
مطهرة,طهر
وهم,وهم
فيها,فيه
خالدون,خلد
إن,ان
الله,الل
لا,لا
يستحيي,سحي
أن,ان
يضرب,ضرب
مثلا,ثلا
ما,ما
بعوضة,بعض
فما,فما
فوقها,فوق
فأما,فأم
الذين,الذين
آمنوا,امن
فيعلمون,علم
أنه,انه
الحق,لحق
من,من
ربهم,ربهم
وأما,وأم
الذين,الذين
كفروا,كفر
فيقولون,يقل
ماذا,اذا
أراد,ارد
الله,الل
بهذا,بهذا
مثلا,ثلا
يضل,يضل
به,به
كثيرا,كثر
ويهدي,يهد
به,به
كثيرا,كثر
وما,وما
يضل,يضل
به,به
إلا,الا
الفاسقين,فسق
الذين,الذين
ينقضون,نقض
عهد,عهد
الله,الل
من,من
بعد,بعد
ميثاقه,يثق
ويقطعون,قطع
ما,ما
أمر,امر
الله,الل
به,به
أن,ان
يوصل,وصل
ويفسدون,فسد
في,في
الأرض,ارض
أولئك,ولئ
هم,هم
الخاسرون,خسر
كيف,كيف
تكفرون,كفر
بالله,بلل
وكنتم,وكن
أمواتا,موت
فأحياكم,فأح
ثم,ثم
يميتكم,يمت
ثم,ثم
يحييكم,يحي
ثم,ثم
إليه,اله
ترجعون,رجع
هو,هو
الذي,الذي
خلق,خلق
لكم,لكم
ما,ما
في,في
الأرض,ارض
جميعا,جمع
ثم,ثم
استوى,سوى
إلى,الى
السماء,سمء
فسواهن,فسا
سبع,سبع
سماوات,سمو
وهو,وهو
بكل,بكل
شيء,شيء
عليم,علم
وإذ,وإذ
قال,قال
ربك,ربك
للملائكة,لئك
إني,اني
جاعل,جعل
في,في
الأرض,ارض
خليفة,خلف
قالوا,قال
أتجعل,جعل
فيها,فيه
من,من
يفسد,فسد
فيها,فيه
ويسفك,يسف
الدماء,دمء
ونحن,ونح
نسبح,سبح
بحمدك,حمد
ونقدس,قدس
لك,لك
قال,قال
إني,اني
أعلم,علم
ما,ما
لا,لا
تعلمون,علم
وعلم,علم
آدم,ادم
الأسماء,سمء
كلها,كله
ثم,ثم
عرضهم,عرض
على,على
الملائكة,لئك
فقال,فقل
أنبئوني,بئو
بأسماء,أسماء
هؤلاء,هؤلاء
إن,ان
كنتم,كنتم
صادقين,صدق
قالوا,قال
سبحانك,سبح
لا,لا
علم,علم
لنا,لنا
إلا,الا
ما,ما
علمتنا,علم
إنك,انك
أنت,انت
العليم,علم
الحكيم,حكم
قال,قال
يا,يا
آدم,ادم
أنبئهم,نبئ
بأسمائهم,أسمائ
فلما,فلم
أنبأهم,نبأ
بأسمائهم,أسمائ
قال,قال
ألم,الم
أقل,اقل
لكم,لكم
إني,اني
أعلم,علم
غيب,غيب
السماوات,سمو
والأرض,ارض
وأعلم,أعلم
ما,ما
تبدون,تبد
وما,وما
كنتم,كنتم
تكتمون,كتم
وإذ,وإذ
قلنا,قلن
للملائكة,لئك
اسجدوا,سجد
لآدم,آدم
فسجدوا,سجد
إلا,الا
إبليس,بلس
أبى,ابى
واستكبر,كبر
وكان,وكان
من,من
الكافرين,كفر
وقلنا,وقل
يا,يا
آدم,ادم
اسكن,اسك
أنت,انت
وزوجك,وزج
الجنة,جنة
وكلا,وكل
منها,منها
رغدا,رغد
حيث,حيث
شئتما,شئت
ولا,ولا
تقربا,قرب
هذه,هذه
الشجرة,شجر
فتكونا,تكو
من,من
الظالمين,ظلم
فأزلهما,أزل
الشيطان,شيط
عنها,عنه
فأخرجهما,أخرج
مما,مما
كانا,كنا
فيه,فيه
وقلنا,وقل
اهبطوا,هبط
بعضكم,بعض
لبعض,بعض
عدو,عدو
ولكم,لكم
في,في
الأرض,ارض
مستقر,سقر
ومتاع,تاع
إلى,الى
حين,حين
فتلقى,لقى
آدم,ادم
من,من
ربه,ربه
كلمات,كلم
فتاب,فتب
عليه,عليه
إنه,انه
هو,هو
التواب,توب
الرحيم,رحم
قلنا,قلن
اهبطوا,هبط
منها,منها
جميعا,جمع
فإما,فإم
يأتينكم,أين
مني,مني
هدى,هدى
فمن,فمن
تبع,تبع
هداي,هدي
فلا,فلا
خوف,خوف
عليهم,علي
ولا,ولا
هم,هم
يحزنون,يحز
والذين,ذين
كفروا,كفر
وكذبوا,كذب
بآياتنا,بآا
أولئك,ولئ
أصحاب,صحب
النار,نار
هم,هم
فيها,فيه
خالدون,خلد
يا,يا
بني,بني
إسرائيل,رائيل
اذكروا,ذكر
نعمتي,نعم
التي,التي
أنعمت,عمت
عليكم,علي
وأوفوا,وأف
بعهدي,عهد
أوف,اوف
بعهدكم,عهد
وإياي,وإا
فارهبون,رهب
وآمنوا,وآم
بما,بما
أنزلت,زلت
مصدقا,صدق
لما,لما
معكم,عكم
ولا,ولا
تكونوا,تكن
أول,اول
كافر,كفر
به,به
ولا,ولا
تشتروا,شتر
بآياتي,بآا
ثمنا,ثمن
قليلا,قلل
وإياي,وإا
فاتقون,فتق
ولا,ولا
تلبسوا,لبس
الحق,لحق
بالباطل,بطل
وتكتموا,كتم
الحق,لحق
وأنتم,وأن
تعلمون,علم
وأقيموا,أقم
الصلاة,صلة
وآتوا,وآت
الزكاة,زكة
واركعوا,ركع
مع,مع
الراكعين,ركع
أتأمرون,أمر
الناس,ناس
بالبر,لبر
وتنسون,تنس
أنفسكم,نفس
وأنتم,وأن
تتلون,تتل
الكتاب,كتب
أفلا,افل
تعقلون,عقل
واستعينوا,ستع
بالصبر,صبر
والصلاة,صلة
وإنها,وإن
لكبيرة,كبر
إلا,الا
على,على
الخاشعين,خشع
الذين,الذين
يظنون,يظن
أنهم,نهم
ملاقو,لقو
ربهم,ربهم
وأنهم,وأن
إليه,اله
راجعون,رجع
يا,يا
بني,بني
إسرائيل,رائيل
اذكروا,ذكر
نعمتي,نعم
التي,التي
أنعمت,عمت
عليكم,علي
وأني,وأن
فضلتكم,فضل
على,على
العالمين,علم
واتقوا,وتق
يوما,يوم
لا,لا
تجزي,تجز
نفس,نفس
عن,عن
نفس,نفس
شيئا,شيئ
ولا,ولا
يقبل,قبل
منها,منها
شفاعة,شفع
ولا,ولا
يؤخذ,ؤخذ
منها,منها
عدل,عدل
ولا,ولا
هم,هم
ينصرون,نصر
وإذ,وإذ
نجيناكم,نجن
من,من
آل,ال
فرعون,فرع
يسومونكم,ومو
سوء,سوء
العذاب,عذب
يذبحون,ذبح
أبناءكم,بنء
ويستحيون,ستح
نساءكم,نسء
وفي,وفي
ذلكم,ذلكم
بلاء,بلء
من,من
ربكم,ربكم
عظيم,عظم
وإذ,وإذ
فرقنا,فرق
بكم,بكم
البحر,بحر
فأنجيناكم,أنج
وأغرقنا,أغرق
آل,ال
فرعون,فرع
وأنتم,وأن
تنظرون,نظر
وإذ,وإذ
واعدنا,وعد
موسى,وسى
أربعين,ربع
ليلة,ليل
ثم,ثم
اتخذتم,تخذ
العجل,عجل
من,من
بعده,بعد
وأنتم,وأن
ظالمون,ظلم
ثم,ثم
عفونا,عفو
عنكم,عنكم
من,من
بعد,بعد
ذلك,ذلك
لعلكم,لعل
تشكرون,شكر
وإذ,وإذ
آتينا,اتي
موسى,وسى
الكتاب,كتب
والفرقان,فرق
لعلكم,لعل
تهتدون,هتد
وإذ,وإذ
قال,قال
موسى,وسى
لقومه,لقم
يا,يا
قوم,قوم
إنكم,نكم
ظلمتم,ظلم
أنفسكم,نفس
باتخاذكم,تخذ
العجل,عجل
فتوبوا,فتب
إلى,الى
بارئكم,برئ
فاقتلوا,قتل
أنفسكم,نفس
ذلكم,ذلكم
خير,خير
لكم,لكم
عند,عند
بارئكم,برئ
فتاب,فتب
عليكم,علي
إنه,انه
هو,هو
التواب,توب
الرحيم,رحم
وإذ,وإذ
قلتم,قلتم
يا,يا
موسى,وسى
لن,لن
نؤمن,نؤم
لك,لك
حتى,حتى
نرى,نرى
الله,الل
جهرة,جهر
فأخذتكم,أخذ
الصاعقة,صعق
وأنتم,وأن
تنظرون,نظر
ثم,ثم
بعثناكم,بعث
من,من
بعد,بعد
موتكم,موت
لعلكم,لعل
تشكرون,شكر
وظللنا,ظلل
عليكم,علي
الغمام,غمم
وأنزلنا,أنزل
عليكم,علي
المن,الم
والسلوى,سلى
كلوا,كلا
من,من
طيبات,طيب
ما,ما
رزقناكم,رزق
وما,وما
ظلمونا,ظلمو
ولكن,ولكن
كانوا,كان
أنفسهم,نفس
يظلمون,ظلم
وإذ,وإذ
قلنا,قلن
ادخلوا,دخل
هذه,هذه
القرية,قرة
فكلوا,فكل
منها,منها
حيث,حيث
شئتم,شئتم
رغدا,رغد
وادخلوا,دخل
الباب,باب
سجدا,سجد
وقولوا,وقل
حطة,حطة
نغفر,غفر
لكم,لكم
خطاياكم,خطي
وسنزيد,نزد
المحسنين,حسن
فبدل,بدل
الذين,الذين
ظلموا,ظلم
قولا,قول
غير,غير
الذي,الذي
قيل,قيل
لهم,لهم
فأنزلنا,أنزل
على,على
الذين,الذين
ظلموا,ظلم
رجزا,رجز
من,من
السماء,سمء
بما,بما
كانوا,كان
يفسقون,فسق
وإذ,وإذ
استسقى,سقى
موسى,وسى
لقومه,لقم
فقلنا,فقل
اضرب,ضرب
بعصاك,بعص
الحجر,حجر
فانفجرت,فجر
منه,منه
اثنتا,اثن
عشرة,عشر
عينا,عين
قد,قد
علم,علم
كل,كل
أناس,انس
مشربهم,شرب
كلوا,كلا
واشربوا,شرب
من,من
رزق,رزق
الله,الل
ولا,ولا
تعثوا,تعث
في,في
الأرض,ارض
مفسدين,فسد
وإذ,وإذ
قلتم,قلتم
يا,يا
موسى,وسى
لن,لن
نصبر,صبر
على,على
طعام,طعم
واحد,وحد
فادع,فدع
لنا,لنا
ربك,ربك
يخرج,خرج
لنا,لنا
مما,مما
تنبت,تنب
الأرض,ارض
من,من
بقلها,بقل
وقثائها,قثئ
وفومها,وفم
وعدسها,عدس
وبصلها,بصل
قال,قال
أتستبدلون,بدل
الذي,الذي
هو,هو
أدنى,دنى
بالذي,بلذ
هو,هو
خير,خير
اهبطوا,هبط
مصرا,صرا
فإن,فإن
لكم,لكم
ما,ما
سألتم,سأل
وضربت,ضرب
عليهم,علي
الذلة,ذلة
والمسكنة,سكن
وباءوا,وبء
بغضب,غضب
من,من
الله,الل
ذلك,ذلك
بأنهم,بأن
كانوا,كان
يكفرون,كفر
بآيات,بآي
الله,الل
ويقتلون,قتل
النبيين,نبي
بغير,بغر
الحق,لحق
ذلك,ذلك
بما,بما
عصوا,عصا
وكانوا,وكن
يعتدون,عتد
إن,ان
الذين,الذين
آمنوا,امن
والذين,ذين
هادوا,هاد
والنصارى,صرى
والصابئين,صبئ
من,من
آمن,امن
بالله,بلل
واليوم,يوم
الآخر,اخر
وعمل,عمل
صالحا,صلح
فلهم,لهم
أجرهم,اجر
عند,عند
ربهم,ربهم
ولا,ولا
خوف,خوف
عليهم,علي
ولا,ولا
هم,هم
يحزنون,يحز
وإذ,وإذ
أخذنا,اخذ
ميثاقكم,يثق
ورفعنا,رفع
فوقكم,فوق
الطور,طور
خذوا,خذا
ما,ما
آتيناكم,اتن
بقوة,بقة
واذكروا,ذكر
ما,ما
فيه,فيه
لعلكم,لعل
تتقون,تتق
ثم,ثم
توليتم,تول
من,من
بعد,بعد
ذلك,ذلك
فلولا,فلل
فضل,فضل
الله,الل
عليكم,علي
ورحمته,رحم
لكنتم,لكن
من,من
الخاسرين,خسر
ولقد,لقد
علمتم,علم
الذين,الذين
اعتدوا,عتد
منكم,نكم
في,في
السبت,سبت
فقلنا,فقل
لهم,لهم
كونوا,كون
قردة,قرد
خاسئين,خسئ
فجعلناها,جعل
نكالا,نكل
لما,لما
بين,بين
يديها,يدي
وما,وما
خلفها,خلف
وموعظة,وعظ
للمتقين,متق
وإذ,وإذ
قال,قال
موسى,وسى
لقومه,لقم
إن,ان
الله,الل
يأمركم,أمر
أن,ان
تذبحوا,ذبح
بقرة,بقر
قالوا,قال
أتتخذنا,تخذ
هزوا,هزا
قال,قال
أعوذ,اعذ
بالله,بلل
أن,ان
أكون,اكن
من,من
الجاهلين,جهل
قالوا,قال
ادع,ادع
لنا,لنا
ربك,ربك
يبين,يبن
لنا,لنا
ما,ما
هي,هي
قال,قال
إنه,انه
يقول,يقل
إنها,انه
بقرة,بقر
لا,لا
فارض,فرض
ولا,ولا
بكر,بكر
عوان,عون
بين,بين
ذلك,ذلك
فافعلوا,فعل
ما,ما
تؤمرون,ؤمر
قالوا,قال
ادع,ادع
لنا,لنا
ربك,ربك
يبين,يبن
لنا,لنا
ما,ما
لونها,لون
قال,قال
إنه,انه
يقول,يقل
إنها,انه
بقرة,بقر
صفراء,صفراء
فاقع,فقع
لونها,لون
تسر,تسر
الناظرين,نظر
قالوا,قال
ادع,ادع
لنا,لنا
ربك,ربك
يبين,يبن
لنا,لنا
ما,ما
هي,هي
إن,ان
البقر,بقر
تشابه,شبه
علينا,علي
وإنا,وإن
إن,ان
شاء,شاء
الله,الل
لمهتدون,هتد
قال,قال
إنه,انه
يقول,يقل
إنها,انه
بقرة,بقر
لا,لا
ذلول,ذلل
تثير,تثر
الأرض,ارض
ولا,ولا
تسقي,تسق
الحرث,حرث
مسلمة,سلم
لا,لا
شية,شية
فيها,فيه
قالوا,قال
الآن,الآ
جئت,جئت
بالحق,لحق
فذبحوها,ذبحو
وما,وما
كادوا,كاد
يفعلون,فعل
وإذ,وإذ
قتلتم,قتل
نفسا,نفس
فادارأتم,درأ
فيها,فيه
والله,ولل
مخرج,خرج
ما,ما
كنتم,كنتم
تكتمون,كتم
فقلنا,فقل
اضربوه,ضربو
ببعضها,بعض
كذلك,كذلك
يحيي,يحي
الله,الل
الموتى,وتى
ويريكم,وير
آياته,يته
لعلكم,لعل
تعقلون,عقل
ثم,ثم
قست,قست
قلوبكم,قلب
من,من
بعد,بعد
ذلك,ذلك
فهي,فهي
كالحجارة,حجر
أو,او
أشد,اشد
قسوة,قسة
وإن,وإن
من,من
الحجارة,حجر
لما,لما
يتفجر,فجر
منه,منه
الأنهار,هار
وإن,وإن
منها,منها
لما,لما
يشقق,شقق
فيخرج,خرج
منه,منه
الماء,ماء
وإن,وإن
منها,منها
لما,لما
يهبط,هبط
من,من
خشية,خشة
الله,الل
وما,وما
الله,الل
بغافل,غفل
عما,عما
تعملون,عمل
أفتطمعون,طمع
أن,ان
يؤمنوا,يؤم
لكم,لكم
وقد,وقد
كان,كان
فريق,فرق
منهم,نهم
يسمعون,سمع
كلام,كلم
الله,الل
ثم,ثم
يحرفونه,حرفو
من,من
بعد,بعد
ما,ما
عقلوه,عقلو
وهم,وهم
يعلمون,علم
وإذا,وإذ
لقوا,لقا
الذين,الذين
آمنوا,امن
قالوا,قال
آمنا,امن
وإذا,وإذ
خلا,خلا
بعضهم,بعض
إلى,الى
بعض,بعض
قالوا,قال
أتحدثونهم,حدثو
بما,بما
فتح,فتح
الله,الل
عليكم,علي
ليحاجوكم,حجو
به,به
عند,عند
ربكم,ربكم
أفلا,افل
تعقلون,عقل
أولا,اول
يعلمون,علم
أن,ان
الله,الل
يعلم,علم
ما,ما
يسرون,يسر
وما,وما
يعلنون,يعل
ومنهم,ومن
أميون,امي
لا,لا
يعلمون,علم
الكتاب,كتب
إلا,الا
أماني,اما
وإن,وإن
هم,هم
إلا,الا
يظنون,يظن
فويل,فول
للذين,ذين
يكتبون,كتب
الكتاب,كتب
بأيديهم,بأد
ثم,ثم
يقولون,يقل
هذا,هذا
من,من
عند,عند
الله,الل
ليشتروا,شتر
به,به
ثمنا,ثمن
قليلا,قلل
فويل,فول
لهم,لهم
مما,مما
كتبت,كتب
أيديهم,ايد
وويل,ويل
لهم,لهم
مما,مما
يكسبون,كسب
وقالوا,وقل
لن,لن
تمسنا,تمس
النار,نار
إلا,الا
أياما,ايا
معدودة,عدد
قل,قل
أتخذتم,تخذ
عند,عند
الله,الل
عهدا,عهد
فلن,فلن
يخلف,خلف
الله,الل
عهده,عهد
أم,ام
تقولون,تقل
على,على
الله,الل
ما,ما
لا,لا
تعلمون,علم
بلى,بلى
من,من
كسب,كسب
سيئة,سيئ
وأحاطت,أحط
به,به
خطيئته,خطئ
فأولئك,أولئ
أصحاب,صحب
النار,نار
هم,هم
فيها,فيه
خالدون,خلد
والذين,ذين
آمنوا,امن
وعملوا,عمل
الصالحات,صلح
أولئك,ولئ
أصحاب,صحب
الجنة,جنة
هم,هم
فيها,فيه
خالدون,خلد
وإذ,وإذ
أخذنا,اخذ
ميثاق,يثق
بني,بني
إسرائيل,رائيل
لا,لا
تعبدون,عبد
إلا,الا
الله,الل
وبالوالدين,وبالوالد
إحسانا,احس
وذي,وذي
القربى,قربى
واليتامى,تمى
والمساكين,ساك
وقولوا,وقل
للناس,ناس
حسنا,حسن
وأقيموا,أقم
الصلاة,صلة
وآتوا,وآت
الزكاة,زكة
ثم,ثم
توليتم,تول
إلا,الا
قليلا,قلل
منكم,نكم
وأنتم,وأن
معرضون,عرض
وإذ,وإذ
أخذنا,اخذ
ميثاقكم,يثق
لا,لا
تسفكون,تسف
دماءكم,دمء
ولا,ولا
تخرجون,خرج
أنفسكم,نفس
من,من
دياركم,دير
ثم,ثم
أقررتم,قرر
وأنتم,وأن
تشهدون,شهد
ثم,ثم
أنتم,نتم
هؤلاء,هؤلاء
تقتلون,قتل
أنفسكم,نفس
وتخرجون,خرج
فريقا,فرق
منكم,نكم
من,من
ديارهم,دير
تظاهرون,ظهر
عليهم,علي
بالإثم,اثم
والعدوان,عدو
وإن,وإن
يأتوكم,أتو
أسارى,سرى
تفادوهم,فدو
وهو,وهو
محرم,حرم
عليكم,علي
إخراجهم,خرج
أفتؤمنون,فؤم
ببعض,بعض
الكتاب,كتب
وتكفرون,كفر
ببعض,بعض
فما,فما
جزاء,جزء
من,من
يفعل,فعل
ذلك,ذلك
منكم,نكم
إلا,الا
خزي,خزي
في,في
الحياة,حية
الدنيا,دنا
ويوم,ويم
القيامة,قيم
يردون,يرد
إلى,الى
أشد,اشد
العذاب,عذب
وما,وما
الله,الل
بغافل,غفل
عما,عما
تعملون,عمل
أولئك,ولئ
الذين,الذين
اشتروا,شتر
الحياة,حية
الدنيا,دنا
بالآخرة,اخر
فلا,فلا
يخفف,خفف
عنهم,عنهم
العذاب,عذب
ولا,ولا
هم,هم
ينصرون,نصر
ولقد,لقد
آتينا,اتي
موسى,وسى
الكتاب,كتب
وقفينا,وقف
من,من
بعده,بعد
بالرسل,رسل
وآتينا,وآت
عيسى,عيسى
ابن,ابن
مريم,ريم
البينات,بين
وأيدناه,وأد
بروح,برح
القدس,قدس
أفكلما,فكل
جاءكم,جاء
رسول,رسل
بما,بما
لا,لا
تهوى,تهى
أنفسكم,نفس
استكبرتم,كبر
ففريقا,فرق
كذبتم,كذب
وفريقا,فرق
تقتلون,قتل
وقالوا,وقل
قلوبنا,قلب
غلف,غلف
بل,بل
لعنهم,لعن
الله,الل
بكفرهم,كفر
فقليلا,قلل
ما,ما
يؤمنون,يؤم
ولما,ولم
جاءهم,جاء
كتاب,كتب
من,من
عند,عند
الله,الل
مصدق,صدق
لما,لما
معهم,عهم
وكانوا,وكن
من,من
قبل,قبل
يستفتحون,فتح
على,على
الذين,الذين
كفروا,كفر
فلما,فلم
جاءهم,جاء
ما,ما
عرفوا,عرف
كفروا,كفر
به,به
فلعنة,فلع
الله,الل
على,على
الكافرين,كفر
بئسما,بئس
اشتروا,شتر
به,به
أنفسهم,نفس
أن,ان
يكفروا,كفر
بما,بما
أنزل,نزل
الله,الل
بغيا,بغا
أن,ان
ينزل,نزل
الله,الل
من,من
فضله,فضل
على,على
من,من
يشاء,يشء
من,من
عباده,عبد
فباءوا,فبء
بغضب,غضب
على,على
غضب,غضب
وللكافرين,كفر
عذاب,عذب
مهين,هين
وإذا,وإذ
قيل,قيل
لهم,لهم
آمنوا,امن
بما,بما
أنزل,نزل
الله,الل
قالوا,قال
نؤمن,نؤم
بما,بما
أنزل,نزل
علينا,علي
ويكفرون,كفر
بما,بما
