Original Word,Stemmed Word
وراءه,ورء
وهو,وهو
الحق,لحق
مصدقا,صدق
لما,لما
معهم,عهم
قل,قل
فلم,فلم
تقتلون,قتل
أنبياء,بيء
الله,الل
من,من
قبل,قبل
إن,ان
كنتم,كنتم
مؤمنين,ؤمن
ولقد,لقد
جاءكم,جاء
موسى,وسى
بالبينات,بين
ثم,ثم
اتخذتم,تخذ
العجل,عجل
من,من
بعده,بعد
وأنتم,وأن
ظالمون,ظلم
وإذ,وإذ
أخذنا,اخذ
ميثاقكم,يثق
ورفعنا,رفع
فوقكم,فوق
الطور,طور
خذوا,خذا
ما,ما
آتيناكم,اتن
بقوة,بقة
واسمعوا,سمع
قالوا,قال
سمعنا,سمع
وعصينا,وعص
وأشربوا,أشرب
في,في
قلوبهم,قلب
العجل,عجل
بكفرهم,كفر
قل,قل
بئسما,بئس
يأمركم,أمر
به,به
إيمانكم,يمن
إن,ان
كنتم,كنتم
مؤمنين,ؤمن
قل,قل
إن,ان
كانت,كانت
لكم,لكم
الدار,دار
الآخرة,اخر
عند,عند
الله,الل
خالصة,خلص
من,من
دون,دون
الناس,ناس
فتمنوا,فتم
الموت,موت
إن,ان
كنتم,كنتم
صادقين,صدق
ولن,ولن
يتمنوه,منو
أبدا,ابد
بما,بما
قدمت,قدم
أيديهم,ايد
والله,ولل
عليم,علم
بالظالمين,ظلم
ولتجدنهم,تجد
أحرص,حرص
الناس,ناس
على,على
حياة,حية
ومن,ومن
الذين,الذين
أشركوا,اشر
يود,يود
أحدهم,احد
لو,لو
يعمر,عمر
ألف,الف
سنة,سنة
وما,وما
هو,هو
بمزحزحه,زحزح
من,من
العذاب,عذب
أن,ان
يعمر,عمر
والله,ولل
بصير,بصر
بما,بما
يعملون,عمل
قل,قل
من,من
كان,كان
عدوا,عدا
لجبريل,جبريل
فإنه,فإن
نزله,نزل
على,على
قلبك,قلب
بإذن,بإذ
الله,الل
مصدقا,صدق
لما,لما
بين,بين
يديه,يده
وهدى,هدى
وبشرى,شرى
للمؤمنين,ؤمن
من,من
كان,كان
عدوا,عدا
لله,لله
وملائكته,وملائكته
ورسله,رسل
وجبريل,جبريل
وميكال,يكل
فإن,فإن
الله,الل
عدو,عدو
للكافرين,كفر
ولقد,لقد
أنزلنا,نزل
إليك,الك
آيات,ايت
بينات,بين
وما,وما
يكفر,كفر
بها,بها
إلا,الا
الفاسقون,فسق
أوكلما,وكل
عاهدوا,عهد
عهدا,عهد
نبذه,نبذ
فريق,فرق
منهم,نهم
بل,بل
أكثرهم,كثر
لا,لا
يؤمنون,يؤم
ولما,ولم
جاءهم,جاء
رسول,رسل
من,من
عند,عند
الله,الل
مصدق,صدق
لما,لما
معهم,عهم
نبذ,نبذ
فريق,فرق
من,من
الذين,الذين
أوتوا,اوت
الكتاب,كتب
كتاب,كتب
الله,الل
وراء,ورء
ظهورهم,ظهر
كأنهم,كأن
لا,لا
يعلمون,علم
واتبعوا,تبع
ما,ما
تتلو,تلو
الشياطين,شيط
على,على
ملك,ملك
سليمان,سلم
وما,وما
كفر,كفر
سليمان,سلم
ولكن,ولكن
الشياطين,شيط
كفروا,كفر
يعلمون,علم
الناس,ناس
السحر,سحر
وما,وما
أنزل,نزل
على,على
الملكين,ملك
ببابل,ببل
هاروت,هرت
وماروت,ارو
وما,وما
يعلمان,علم
من,من
أحد,احد
حتى,حتى
يقولا,يقل
إنما,انم
نحن,نحن
فتنة,فتن
فلا,فلا
تكفر,كفر
فيتعلمون,علم
منهما,منه
ما,ما
يفرقون,فرق
به,به
بين,بين
المرء,مرء
وزوجه,وزج
وما,وما
هم,هم
بضارين,بضر
به,به
من,من
أحد,احد
إلا,الا
بإذن,بإذ
الله,الل
ويتعلمون,علم
ما,ما
يضرهم,يضر
ولا,ولا
ينفعهم,نفع
ولقد,لقد
علموا,علم
لمن,لمن
اشتراه,شره
ما,ما
له,له
في,في
الآخرة,اخر
من,من
خلاق,خلق
ولبئس,بئس
ما,ما
شروا,شرا
به,به
أنفسهم,نفس
لو,لو
كانوا,كان
يعلمون,علم
ولو,ولو
أنهم,نهم
آمنوا,امن
واتقوا,وتق
لمثوبة,ثوب
من,من
عند,عند
الله,الل
خير,خير
لو,لو
كانوا,كان
يعلمون,علم
يا,يا
أيها,ايه
الذين,الذين
آمنوا,امن
لا,لا
تقولوا,تقل
راعنا,راع
وقولوا,وقل
انظرنا,نظر
واسمعوا,سمع
وللكافرين,كفر
عذاب,عذب
أليم,الم
ما,ما
يود,يود
الذين,الذين
كفروا,كفر
من,من
أهل,اهل
الكتاب,كتب
ولا,ولا
المشركين,شرك
أن,ان
ينزل,نزل
عليكم,علي
من,من
خير,خير
من,من
ربكم,ربكم
والله,ولل
يختص,ختص
برحمته,رحم
من,من
يشاء,يشء
والله,ولل
ذو,ذو
الفضل,فضل
العظيم,عظم
ما,ما
ننسخ,نسخ
من,من
آية,اية
أو,او
ننسها,ننس
نأت,نأت
بخير,بخر
منها,منها
أو,او
مثلها,مثل
ألم,الم
تعلم,علم
أن,ان
الله,الل
على,على
كل,كل
شيء,شيء
قدير,قدر
ألم,الم
تعلم,علم
أن,ان
الله,الل
له,له
ملك,ملك
السماوات,سمو
والأرض,ارض
وما,وما
لكم,لكم
من,من
دون,دون
الله,الل
من,من
ولي,ولي
ولا,ولا
نصير,نصر
أم,ام
تريدون,ترد
أن,ان
تسألوا,سأل
رسولكم,رسل
كما,كما
سئل,سئل
موسى,وسى
من,من
قبل,قبل
ومن,ومن
يتبدل,بدل
الكفر,كفر
بالإيمان,ايم
فقد,فقد
ضل,ضل
سواء,سوء
السبيل,سبل
ود,ود
كثير,كثر
من,من
أهل,اهل
الكتاب,كتب
لو,لو
يردونكم,ردو
من,من
بعد,بعد
إيمانكم,يمن
كفارا,كفر
حسدا,حسد
من,من
عند,عند
أنفسهم,نفس
من,من
بعد,بعد
ما,ما
تبين,تبن
لهم,لهم
الحق,لحق
فاعفوا,فعف
واصفحوا,صفح
حتى,حتى
يأتي,يأت
الله,الل
بأمره,أمر
إن,ان
الله,الل
على,على
كل,كل
شيء,شيء
قدير,قدر
وأقيموا,أقم
الصلاة,صلة
وآتوا,وآت
الزكاة,زكة
وما,وما
تقدموا,قدم
لأنفسكم,أنفس
من,من
خير,خير
تجدوه,جدو
عند,عند
الله,الل
إن,ان
الله,الل
بما,بما
تعملون,عمل
بصير,بصر
وقالوا,وقل
لن,لن
يدخل,دخل
الجنة,جنة
إلا,الا
من,من
كان,كان
هودا,هود
أو,او
نصارى,صرى
تلك,تلك
أمانيهم,مني
قل,قل
هاتوا,هات
برهانكم,بره
إن,ان
كنتم,كنتم
صادقين,صدق
بلى,بلى
من,من
أسلم,سلم
وجهه,وجه
لله,لله
وهو,وهو
محسن,حسن
فله,فله
أجره,اجر
عند,عند
ربه,ربه
ولا,ولا
خوف,خوف
عليهم,علي
ولا,ولا
هم,هم
يحزنون,يحز
وقالت,وقل
اليهود,يهد
ليست,ليس
النصارى,صرى
على,على
شيء,شيء
وقالت,وقل
النصارى,صرى
ليست,ليس
اليهود,يهد
على,على
شيء,شيء
وهم,وهم
يتلون,يتل
الكتاب,كتب
كذلك,كذلك
قال,قال
الذين,الذين
لا,لا
يعلمون,علم
مثل,مثل
قولهم,قول
فالله,فلل
يحكم,حكم
بينهم,بين
يوم,يوم
القيامة,قيم
فيما,فيم
كانوا,كان
فيه,فيه
يختلفون,خلف
ومن,ومن
أظلم,ظلم
ممن,ممن
منع,منع
مساجد,سجد
الله,الل
أن,ان
يذكر,ذكر
فيها,فيه
اسمه,اسم
وسعى,سعى
في,في
خرابها,خرب
أولئك,ولئ
ما,ما
كان,كان
لهم,لهم
أن,ان
يدخلوها,دخلو
إلا,الا
خائفين,خئف
لهم,لهم
في,في
الدنيا,دنا
خزي,خزي
ولهم,لهم
في,في
الآخرة,اخر
عذاب,عذب
عظيم,عظم
ولله,ولل
المشرق,شرق
والمغرب,غرب
فأينما,فأن
تولوا,تول
فثم,فثم
وجه,وجه
الله,الل
إن,ان
الله,الل
واسع,وسع
عليم,علم
وقالوا,وقل
اتخذ,تخذ
الله,الل
ولدا,ولد
سبحانه,سبح
بل,بل
له,له
ما,ما
في,في
السماوات,سمو
والأرض,ارض
كل,كل
له,له
قانتون,قنت
بديع,بدع
السماوات,سمو
والأرض,ارض
وإذا,وإذ
قضى,قضى
أمرا,امر
فإنما,فإن
يقول,يقل
له,له
كن,كن
فيكون,فيك
وقال,وقل
الذين,الذين
لا,لا
يعلمون,علم
لولا,لول
يكلمنا,كلم
الله,الل
أو,او
تأتينا,تأت
آية,اية
كذلك,كذلك
قال,قال
الذين,الذين
من,من
قبلهم,قبل
مثل,مثل
قولهم,قول
تشابهت,شبه
قلوبهم,قلب
قد,قد
بينا,بين
الآيات,ايت
لقوم,لقم
يوقنون,يوق
إنا,انا
أرسلناك,رسل
بالحق,لحق
بشيرا,بشر
ونذيرا,نذر
ولا,ولا
تسأل,سأل
عن,عن
أصحاب,صحب
الجحيم,جحم
ولن,ولن
ترضى,رضى
عنك,عنك
اليهود,يهد
ولا,ولا
النصارى,صرى
حتى,حتى
تتبع,تبع
ملتهم,ملت
قل,قل
إن,ان
هدى,هدى
الله,الل
هو,هو
الهدى,هدى
ولئن,ولئ
اتبعت,تبع
أهواءهم,هوء
بعد,بعد
الذي,الذي
جاءك,جءك
من,من
العلم,علم
ما,ما
لك,لك
من,من
الله,الل
من,من
ولي,ولي
ولا,ولا
نصير,نصر
الذين,الذين
آتيناهم,اتن
الكتاب,كتب
يتلونه,تلو
حق,حق
تلاوته,لوت
أولئك,ولئ
يؤمنون,يؤم
به,به
ومن,ومن
يكفر,كفر
به,به
فأولئك,أولئ
هم,هم
الخاسرون,خسر
يا,يا
بني,بني
إسرائيل,رائيل
اذكروا,ذكر
نعمتي,نعم
التي,التي
أنعمت,عمت
عليكم,علي
وأني,وأن
فضلتكم,فضل
على,على
العالمين,علم
واتقوا,وتق
يوما,يوم
لا,لا
تجزي,تجز
نفس,نفس
عن,عن
نفس,نفس
شيئا,شيئ
ولا,ولا
يقبل,قبل
منها,منها
عدل,عدل
ولا,ولا
تنفعها,نفع
شفاعة,شفع
ولا,ولا
هم,هم
ينصرون,نصر
وإذ,وإذ
ابتلى,بلى
إبراهيم,راهيم
ربه,ربه
بكلمات,كلم
فأتمهن,أتم
قال,قال
إني,اني
جاعلك,جعل
للناس,ناس
إماما,اما
قال,قال
ومن,ومن
ذريتي,ذرت
قال,قال
لا,لا
ينال,ينل
عهدي,عهد
الظالمين,ظلم
وإذ,وإذ
جعلنا,جعل
البيت,بيت
مثابة,ثاب
للناس,ناس
وأمنا,وأم
واتخذوا,تخذ
من,من
مقام,قام
إبراهيم,راهيم
مصلى,صلى
وعهدنا,عهد
إلى,الى
إبراهيم,راهيم
وإسماعيل,وإسماعيل
أن,ان
طهرا,طهر
بيتي,بيت
للطائفين,طئف
والعاكفين,عكف
والركع,ركع
السجود,سجد
وإذ,وإذ
قال,قال
إبراهيم,راهيم
رب,رب
اجعل,جعل
هذا,هذا
بلدا,بلد
آمنا,امن
وارزق,رزق
أهله,اهل
من,من
الثمرات,ثمر
من,من
آمن,امن
منهم,نهم
بالله,بلل
واليوم,يوم
الآخر,اخر
قال,قال
ومن,ومن
كفر,كفر
فأمتعه,أمتع
قليلا,قلل
ثم,ثم
أضطره,ضطر
إلى,الى
عذاب,عذب
النار,نار
وبئس,بئس
المصير,صير
وإذ,وإذ
يرفع,رفع
إبراهيم,راهيم
القواعد,قعد
من,من
البيت,بيت
وإسماعيل,وإسماعيل
ربنا,ربن
تقبل,قبل
منا,منا
إنك,انك
أنت,انت
السميع,سمع
العليم,علم
ربنا,ربن
واجعلنا,جعل
مسلمين,سلم
لك,لك
ومن,ومن
ذريتنا,ذرت
أمة,امة
مسلمة,سلم
لك,لك
وأرنا,وأر
مناسكنا,نسك
وتب,وتب
علينا,علي
إنك,انك
أنت,انت
التواب,توب
الرحيم,رحم
ربنا,ربن
وابعث,بعث
فيهم,يهم
رسولا,رسل
منهم,نهم
يتلو,تلو
عليهم,علي
آياتك,يتك
ويعلمهم,علم
الكتاب,كتب
والحكمة,حكم
ويزكيهم,ويز
إنك,انك
أنت,انت
العزيز,عزز
الحكيم,حكم
ومن,ومن
يرغب,رغب
عن,عن
ملة,ملة
إبراهيم,راهيم
إلا,الا
من,من
سفه,سفه
نفسه,نفس
ولقد,لقد
اصطفيناه,اصطفيناه
في,في
الدنيا,دنا
وإنه,وإن
في,في
الآخرة,اخر
لمن,لمن
الصالحين,صلح
إذ,اذ
قال,قال
له,له
ربه,ربه
أسلم,سلم
قال,قال
أسلمت,سلم
لرب,لرب
العالمين,علم
ووصى,وصى
بها,بها
إبراهيم,راهيم
بنيه,بنه
ويعقوب,عقب
يا,يا
بني,بني
إن,ان
الله,الل
اصطفى,صطفى
لكم,لكم
الدين,دين
فلا,فلا
تموتن,تمو
إلا,الا
وأنتم,وأن
مسلمون,سلم
أم,ام
كنتم,كنتم
شهداء,شهداء
إذ,اذ
حضر,حضر
يعقوب,عقب
الموت,موت
إذ,اذ
قال,قال
لبنيه,لبن
ما,ما
تعبدون,عبد
من,من
بعدي,بعد
قالوا,قال
نعبد,عبد
إلهك,اله
وإله,وإل
آبائك,بئك
إبراهيم,راهيم
وإسماعيل,وإسماعيل
وإسحاق,إسحاق
إلها,اله
واحدا,وحد
ونحن,ونح
له,له
مسلمون,سلم
تلك,تلك
أمة,امة
قد,قد
خلت,خلت
لها,لها
ما,ما
كسبت,كسب
ولكم,لكم
ما,ما
كسبتم,كسب
ولا,ولا
تسألون,سأل
عما,عما
كانوا,كان
يعملون,عمل
وقالوا,وقل
كونوا,كون
هودا,هود
أو,او
نصارى,صرى
تهتدوا,هتد
قل,قل
بل,بل
ملة,ملة
إبراهيم,راهيم
حنيفا,حنف
وما,وما
كان,كان
من,من
المشركين,شرك
قولوا,قول
آمنا,امن
بالله,بلل
وما,وما
أنزل,نزل
إلينا,الي
وما,وما
أنزل,نزل
إلى,الى
إبراهيم,راهيم
وإسماعيل,وإسماعيل
وإسحاق,إسحاق
ويعقوب,عقب
والأسباط,سبط
وما,وما
أوتي,اوت
موسى,وسى
وعيسى,عيسى
وما,وما
أوتي,اوت
النبيون,نبي
من,من
ربهم,ربهم
لا,لا
نفرق,فرق
بين,بين
أحد,احد
منهم,نهم
ونحن,ونح
له,له
مسلمون,سلم
فإن,فإن
آمنوا,امن
بمثل,مثل
ما,ما
آمنتم,امن
به,به
فقد,فقد
اهتدوا,هتد
وإن,وإن
تولوا,تول
فإنما,فإن
هم,هم
في,في
شقاق,شقق
فسيكفيكهم,يكف
الله,الل
وهو,وهو
السميع,سمع
العليم,علم
صبغة,صبغ
الله,الل
ومن,ومن
أحسن,احس
من,من
الله,الل
صبغة,صبغ
ونحن,ونح
له,له
عابدون,عبد
قل,قل
أتحاجوننا,حجو
في,في
الله,الل
وهو,وهو
ربنا,ربن
وربكم,ورب
ولنا,ولن
أعمالنا,عمل
ولكم,لكم
أعمالكم,عمل
ونحن,ونح
له,له
مخلصون,خلص
أم,ام
تقولون,تقل
إن,ان
إبراهيم,راهيم
وإسماعيل,وإسماعيل
وإسحاق,إسحاق
ويعقوب,عقب
والأسباط,سبط
كانوا,كان
هودا,هود
أو,او
نصارى,صرى
قل,قل
أأنتم,اأن
أعلم,علم
أم,ام
الله,الل
ومن,ومن
أظلم,ظلم
ممن,ممن
كتم,كتم
شهادة,شهد
عنده,عند
من,من
الله,الل
وما,وما
الله,الل
بغافل,غفل
عما,عما
تعملون,عمل
تلك,تلك
أمة,امة
قد,قد
خلت,خلت
لها,لها
ما,ما
كسبت,كسب
ولكم,لكم
ما,ما
كسبتم,كسب
ولا,ولا
تسألون,سأل
عما,عما
كانوا,كان
يعملون,عمل
سيقول,يقل
السفهاء,فهء
من,من
الناس,ناس
ما,ما
ولاهم,ولا
عن,عن
قبلتهم,قبل
التي,التي
كانوا,كان
عليها,عليها
قل,قل
لله,لله
المشرق,شرق
والمغرب,غرب
يهدي,يهد
من,من
يشاء,يشء
إلى,الى
صراط,صرط
مستقيم,قيم
وكذلك,كذل
جعلناكم,جعل
أمة,امة
وسطا,وسط
لتكونوا,تكو
شهداء,شهداء
على,على
الناس,ناس
ويكون,ويك
الرسول,رسل
عليكم,علي
شهيدا,شهد
وما,وما
جعلنا,جعل
القبلة,قبل
التي,التي
كنت,كنت
عليها,عليها
إلا,الا
لنعلم,علم
من,من
يتبع,تبع
الرسول,رسل
ممن,ممن
ينقلب,قلب
على,على
عقبيه,عقب
وإن,وإن
كانت,كانت
لكبيرة,كبر
إلا,الا
على,على
الذين,الذين
هدى,هدى
الله,الل
وما,وما
كان,كان
الله,الل
ليضيع,يضع
إيمانكم,يمن
إن,ان
الله,الل
بالناس,ناس
لرءوف,رءف
رحيم,رحم
قد,قد
نرى,نرى
تقلب,قلب
وجهك,وجه
في,في
السماء,سمء
فلنولينك,فلنولينك
قبلة,قبل
ترضاها,ترض
فول,فول
وجهك,وجه
شطر,شطر
المسجد,سجد
الحرام,حرم
وحيث,وحث
ما,ما
كنتم,كنتم
فولوا,فول
وجوهكم,وجه
شطره,شطر
وإن,وإن
الذين,الذين
أوتوا,اوت
الكتاب,كتب
ليعلمون,علم
أنه,انه
الحق,لحق
من,من
ربهم,ربهم
وما,وما
الله,الل
بغافل,غفل
عما,عما
يعملون,عمل
ولئن,ولئ
أتيت,اتت
الذين,الذين
أوتوا,اوت
الكتاب,كتب
بكل,بكل
آية,اية
ما,ما
تبعوا,تبع
قبلتك,قبل
وما,وما
أنت,انت
بتابع,تبع
قبلتهم,قبل
وما,وما
بعضهم,بعض
بتابع,تبع
قبلة,قبل
بعض,بعض
ولئن,ولئ
اتبعت,تبع
أهواءهم,هوء
من,من
بعد,بعد
ما,ما
جاءك,جءك
من,من
العلم,علم
إنك,انك
إذا,اذا
لمن,لمن
الظالمين,ظلم
الذين,الذين
آتيناهم,اتن
الكتاب,كتب
يعرفونه,عرفو
كما,كما
يعرفون,عرف
أبناءهم,بنء
وإن,وإن
فريقا,فرق
منهم,نهم
ليكتمون,كتم
الحق,لحق
وهم,وهم
يعلمون,علم
الحق,لحق
من,من
ربك,ربك
فلا,فلا
تكونن,تكن
من,من
الممترين,متر
ولكل,لكل
وجهة,وجه
هو,هو
موليها,ولي
فاستبقوا,سبق
الخيرات,خير
أين,اين
ما,ما
تكونوا,تكن
يأت,يأت
بكم,بكم
الله,الل
جميعا,جمع
إن,ان
الله,الل
على,على
كل,كل
شيء,شيء
قدير,قدر
ومن,ومن
حيث,حيث
خرجت,خرج
فول,فول
وجهك,وجه
شطر,شطر
المسجد,سجد
الحرام,حرم
وإنه,وإن
للحق,لحق
من,من
ربك,ربك
وما,وما
الله,الل
بغافل,غفل
عما,عما
تعملون,عمل
ومن,ومن
حيث,حيث
خرجت,خرج
فول,فول
وجهك,وجه
شطر,شطر
المسجد,سجد
الحرام,حرم
وحيث,وحث
ما,ما
كنتم,كنتم
فولوا,فول
وجوهكم,وجه
شطره,شطر
لئلا,لئل
يكون,يكون
للناس,ناس
عليكم,علي
حجة,حجة
إلا,الا
الذين,الذين
ظلموا,ظلم
منهم,نهم
فلا,فلا
تخشوهم,خشو
واخشوني,خشو
ولأتم,ولأ
نعمتي,نعم
عليكم,علي
ولعلكم,لعل
تهتدون,هتد
كما,كما
أرسلنا,رسل
فيكم,يكم
رسولا,رسل
منكم,نكم
يتلو,تلو
عليكم,علي
آياتنا,ايت
ويزكيكم,ويز
ويعلمكم,علم
الكتاب,كتب
والحكمة,حكم
ويعلمكم,علم
ما,ما
لم,لم
تكونوا,تكن
تعلمون,علم
فاذكروني,ذكرو
أذكركم,ذكر
واشكروا,شكر
لي,لي
ولا,ولا
تكفرون,كفر
يا,يا
أيها,ايه
الذين,الذين
آمنوا,امن
استعينوا,عين
بالصبر,صبر
والصلاة,صلة
إن,ان
الله,الل
مع,مع
الصابرين,صبر
ولا,ولا
تقولوا,تقل
لمن,لمن
يقتل,قتل
في,في
سبيل,سبل
الله,الل
أموات,امو
بل,بل
أحياء,حيء
ولكن,ولكن
لا,لا
تشعرون,شعر
ولنبلونكم,بلو
بشيء,بشء
من,من
الخوف,خوف
والجوع,جوع
ونقص,نقص
من,من
الأموال,مول
والأنفس,نفس
والثمرات,ثمر
وبشر,بشر
الصابرين,صبر
الذين,الذين
إذا,اذا
أصابتهم,صبت
مصيبة,صيب
قالوا,قال
إنا,انا
لله,لله
وإنا,وإن
إليه,اله
راجعون,رجع
أولئك,ولئ
عليهم,علي
صلوات,صلو
من,من
ربهم,ربهم
ورحمة,رحم
وأولئك,أولئ
هم,هم
المهتدون,هتد
إن,ان
الصفا,صفا
والمروة,روة
من,من
شعائر,شعر
الله,الل
فمن,فمن
حج,حج
البيت,بيت
أو,او
اعتمر,عمر
فلا,فلا
جناح,جنح
عليه,عليه
أن,ان
يطوف,يطف
بهما,بهم
ومن,ومن
تطوع,تطع
خيرا,خير
فإن,فإن
الله,الل
شاكر,شكر
عليم,علم
إن,ان
الذين,الذين
يكتمون,كتم
ما,ما
أنزلنا,نزل
من,من
البينات,بين
والهدى,هدى
من,من
بعد,بعد
ما,ما
بيناه,بين
للناس,ناس
في,في
الكتاب,كتب
أولئك,ولئ
يلعنهم,يلع
الله,الل
ويلعنهم,يلع
اللاعنون,لعن
إلا,الا
الذين,الذين
تابوا,تاب
وأصلحوا,أصلح
وبينوا,وبن
فأولئك,أولئ
أتوب,اتب
عليهم,علي
وأنا,وأن
التواب,توب
الرحيم,رحم
إن,ان
الذين,الذين
كفروا,كفر
وماتوا,ومت
وهم,وهم
كفار,كفر
أولئك,ولئ
عليهم,علي
لعنة,لعن
الله,الل
والملائكة,لئك
والناس,ناس
أجمعين,جمع
خالدين,خلد
فيها,فيه
لا,لا
يخفف,خفف
عنهم,عنهم
العذاب,عذب
ولا,ولا
هم,هم
ينظرون,نظر
وإلهكم,وإل
إله,اله
واحد,وحد
لا,لا
إله,اله
إلا,الا
هو,هو
الرحمن,رحم
الرحيم,رحم
إن,ان
في,في
خلق,خلق
السماوات,سمو
والأرض,ارض
واختلاف,خلف
الليل,ليل
والنهار,نهر
والفلك,فلك
التي,التي
تجري,تجر
في,في
البحر,بحر
بما,بما
ينفع,نفع
الناس,ناس
وما,وما
أنزل,نزل
الله,الل
من,من
السماء,سمء
من,من
ماء,ماء
فأحيا,فأح
به,به
الأرض,ارض
بعد,بعد
موتها,موت
وبث,وبث
فيها,فيه
من,من
كل,كل
دابة,دبة
وتصريف,صرف
الرياح,ريح
والسحاب,سحب
المسخر,سخر
بين,بين
السماء,سمء
والأرض,ارض
لآيات,لآي
لقوم,لقم
يعقلون,عقل
ومن,ومن
الناس,ناس
من,من
يتخذ,تخذ
من,من
دون,دون
الله,الل
أندادا,داد
يحبونهم,حبو
كحب,كحب
الله,الل
والذين,ذين
آمنوا,امن
أشد,اشد
حبا,حبا
لله,لله
ولو,ولو
يرى,يرى
الذين,الذين
ظلموا,ظلم
إذ,اذ
يرون,يرن
العذاب,عذب
أن,ان
القوة,قوة
لله,لله
جميعا,جمع
وأن,وأن
الله,الل
شديد,شدد
العذاب,عذب
إذ,اذ
تبرأ,برأ
الذين,الذين
اتبعوا,تبع
من,من
الذين,الذين
اتبعوا,تبع
ورأوا,ورأ
العذاب,عذب
وتقطعت,قطع
بهم,بهم
الأسباب,سبب
وقال,وقل
الذين,الذين
اتبعوا,تبع
لو,لو
أن,ان
لنا,لنا
كرة,كرة
فنتبرأ,برأ
منهم,نهم
كما,كما
تبرءوا,برء
منا,منا
كذلك,كذلك
يريهم,يري
الله,الل
أعمالهم,عمل
حسرات,حسر
عليهم,علي
وما,وما
هم,هم
بخارجين,خرج
من,من
النار,نار
يا,يا
أيها,ايه
الناس,ناس
كلوا,كلا
مما,مما
في,في
الأرض,ارض
حلالا,حلل
طيبا,طيب
ولا,ولا
تتبعوا,تبع
خطوات,خطو
الشيطان,شيط
إنه,انه
لكم,لكم
عدو,عدو
مبين,بين
إنما,انم
يأمركم,أمر
بالسوء,سوء
والفحشاء,حشء
وأن,وأن
تقولوا,تقل
على,على
الله,الل
ما,ما
لا,لا
تعلمون,علم
وإذا,وإذ
قيل,قيل
لهم,لهم
اتبعوا,تبع
ما,ما
أنزل,نزل
الله,الل
قالوا,قال
بل,بل
نتبع,تبع
ما,ما
ألفينا,الف
عليه,عليه
آباءنا,ابء
أولو,ولو
كان,كان
آباؤهم,ابؤ
لا,لا
يعقلون,عقل
شيئا,شيئ
ولا,ولا
يهتدون,هتد
ومثل,مثل
الذين,الذين
كفروا,كفر
كمثل,كمثل
الذي,الذي
ينعق,نعق
بما,بما
لا,لا
يسمع,سمع
إلا,الا
دعاء,دعء
ونداء,ندء
صم,صم
